article_id,title,url,publisher,hostname,timestamp,category
1126,US stocks edge lower in choppy trading,http://www.marketwatch.com/story/us-stocks-wobble-urban-outfitters-slumps-on-results-2014-03-11,MarketWatch,www.marketwatch.com,1390000000000.0,0
3339,The BoE's sharp shock to monetary illusions,http://www.businessspectator.com.au/article/2014/3/18/economy/boes-sharp-shock-monetary-illusions,Business Spectator,www.businessspectator.com.au,1400000000000.0,0
1704,Oil falls to around $101 after China data,http://poststar.com/business/oil-falls-to-around-after-china-data/article_05baa734-cac0-543a-8e2b-2c722aecc60a.html,Glens Falls Post-Star,poststar.com,1390000000000.0,0
584,Stocks end a day of choppy trading lower,http://finance.yahoo.com/blogs/hot-stock-minute/stocks-ended-a-choppy-day-of-trading-----164622404.html,Yahoo Finance \(blog\),finance.yahoo.com,1390000000000.0,0
4185,"Gold prices marginally weaker in Asia trade, await direction",http://www.nasdaq.com/article/gold-prices-marginally-weaker-in-asia-trade-await-direction-cm333561,NASDAQ,www.nasdaq.com,1390000000000.0,0
1837,"Despite crises, 5-year bull market may keep running",http://www.bostonglobe.com/business/2014/03/09/despite-obstacles-bull-market-turns/dAUfXD4zhG9YLFfHqL1WcP/story.html,Boston Globe,www.bostonglobe.com,1390000000000.0,0
3885,Midday Market Stats: The Boeing Company Pressures the Dow Jones Industrial  ...,http://www.schaeffersresearch.com/commentary/content/blogs/midday+market+stats+the+boeing+company+pressures+the+dow+jones+industrial+average/trading_floor_blog.aspx\?blogid=120103,Schaeffers Research \(blog\),www.schaeffersresearch.com,1390000000000.0,0
1120,Asian shares start week with drop,http://www.cityindex.co.uk/market-analysis/financial-news/asian-stock-markets-news/25703232014/asian-shares-start-week-with-drop/,City Index,www.cityindex.co.uk,1390000000000.0,0
181,Eurozone banks' sovereign exposure hits new high,http://www.ekathimerini.com/4dcgi/_w_articles_wsite2_1_10/03/2014_538029,Kathimerini,www.ekathimerini.com,1390000000000.0,0
372,WRAPUP 1-US inflation muted despite food price increases; housing starts slip,http://in.reuters.com/article/2014/03/18/usa-economy-idINL2N0MF0HR20140318,Reuters,in.reuters.com,1400000000000.0,0
219,Quiznos files for bankruptcy amid heightened competition,"http://www.chicagotribune.com/business/breaking/chi-quiznos-bankruptcy--20140314,0,4393368.story",Chicago Tribune,www.chicagotribune.com,1400000000000.0,0
4321,General Motors Company (NASDAQ:GM) Share Prices Suffer As Highway  ...,http://basicsmedia.com/general-motors-company-nasdaqgm-share-prices-suffer-as-highway-regulators-initiate-probe-8888,BasicsMedia,basicsmedia.com,1390000000000.0,0
3607,"DigitalGlobe's Tomnod, Crowd Searching for Clues About Missing Plane",http://www.xconomy.com/boulder-denver/2014/03/11/digitalglobes-tomnod-crowd-searching-for-clues-about-missing-plane/,Xconomy,www.xconomy.com,1390000000000.0,0
1920,WRAPUP 2-US consumer sentiment slips; bad weather eyed,http://www.reuters.com/article/2014/03/14/usa-economy-idUSL2N0MB0JM20140314,Reuters,www.reuters.com,1400000000000.0,0
3474,Mortgage Apps Drop by Two Percent Over Last Week,http://nationalmortgageprofessional.com/news47546/mortgage-apps-drop-two-percent-over-last-week,National Mortgage Professional Magazine,nationalmortgageprofessional.com,1390000000000.0,0
2715,US stocks end lower on a lackluster trading day,http://www.business-standard.com/article/news-cm/us-stocks-end-lower-on-a-lackluster-trading-day-114031200183_1.html,Business Standard,www.business-standard.com,1390000000000.0,0
821,"Stock market live blog: Stocks slip, with Nasdaq on pace for 4th down day in row",http://blogs.marketwatch.com/thetell/2014/03/11/stock-market-live-blog-s-urban-slumps-while-macys-jumps/,MarketWatch \(blog\),blogs.marketwatch.com,1390000000000.0,0
152,Stocks Struggle Ahead on Wednesday,http://www.wallstreetsectorselector.com/2014/03/stocks-struggle-ahead-wednesday/,Wall Street Sector Selector,www.wallstreetsectorselector.com,1390000000000.0,0
1052,"World stocks, copper and oil fall after weak China exports",http://indianexpress.com/article/business/business-others/world-stocks-copper-and-oil-fall-after-weak-china-exports/,Indian Express,indianexpress.com,1390000000000.0,0
4297,More Bad Economic Data Out Of China,http://www.businessinsider.in/More-Bad-Economic-Data-Out-Of-China/articleshow/31939620.cms,Businessinsider India,www.businessinsider.in,1390000000000.0,0
1634,Fannie and Freddie Could Send $179.2 Billion in Profit to Taxpayers,http://atlantablackstar.com/2014/03/10/major-profits-fannie-freddie-send-179-2b-taxpayers/,Atlanta Black Star,atlantablackstar.com,1390000000000.0,0
2491,GM recall: ignition problem on Saturn Ion was raised in 2001,http://www.theguardian.com/business/2014/mar/13/gm-recall-ignition-problem-on-saturn-ion-was-raised-in-2001,The Guardian,www.theguardian.com,1390000000000.0,0
963,McDonald's reports lower US sales amid bitter cold winter,http://www.nj.com/business/index.ssf/2014/03/bitter_cold_winter_pushes_down_mcdonalds_4th_quarter_earnings.html,The Star-Ledger,www.nj.com,1390000000000.0,0
1208,Mainland stock exchanges drop amid concerns over first corporate bond market  ...,http://www.globaltimes.cn/content/847213.shtml,Global Times,www.globaltimes.cn,1390000000000.0,0
2204,Stocks fall on discouraging news from Asia,"http://www.latimes.com/business/la-fiw-wall-street-20140310,0,2497218.story",Los Angeles Times,www.latimes.com,1390000000000.0,0
223,Stocks lower on discouraging news from Asia,http://southtownstar.suntimes.com/business/26109407-420/stocks-lower-on-discouraging-news-from-asia.html,SouthtownStar,southtownstar.suntimes.com,1390000000000.0,0
2995,Sbarro reportedly preparing for Ch. 11 bankruptcy,http://www.bizjournals.com/phoenix/morning_call/2014/03/sbarro-reportedly-preparing-for-ch-11bankruptcy.html,Phoenix Business Journal,www.bizjournals.com,1390000000000.0,0
4284,Stocks move lower on discouraging news from Asia,http://azstarnet.com/business/national-and-international/stocks-move-lower-on-discouraging-news-from-asia/article_b355b71e-eee0-5069-bb80-2bc2f8277de9.html,Arizona Daily Star,azstarnet.com,1390000000000.0,0
1544,Much for Vivendi to ponder in bids for its telecoms unit,http://www.bdlive.co.za/world/europe/2014/03/13/much-for-vivendi-to-ponder-in-bids-for-its-telecoms-unit,BDlive,www.bdlive.co.za,1390000000000.0,0
608,Vodafone buys Spanish cable firm Ono for 7.2 bn euros,http://www.hurriyetdailynews.com/vodafone-buys-spanish-cable-firm-ono-for-72-bn-euros.aspx\?pageID=238&amp;nID=63681&amp;NewsCatID=345,Hurriyet Daily News,www.hurriyetdailynews.com,1400000000000.0,0
2710,"Gold hits 6-month peak, while copper falls to lowest since 2010",http://www.nasdaq.com/article/gold-hits-6month-peak-while-copper-falls-to-lowest-since-2010-cm334514,NASDAQ,www.nasdaq.com,1390000000000.0,0
1415,Chaori to Sell Solar Farms to Repay Bondholders After Default,http://www.bloomberg.com/news/2014-03-10/chaori-to-sell-solar-farms-to-repay-bondholders-after-default.html,Bloomberg,www.bloomberg.com,1390000000000.0,0
4217,$A falls as Ukraine tensions escalate,http://au.finance.yahoo.com/news/falls-ukraine-tensions-escalate-203710339.html,Yahoo\!7 News,au.finance.yahoo.com,1390000000000.0,0
